_step,_runtime,General/env_index,global_step,_timestamp,Losses/actor_loss,Scaled_returns/evaluation_4__easy_layout_scaled,reward,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Evaluation/4__easy_layout,Evaluation/5__cramped_room,Advantage_Targets/advantages,General/env_step,General/update_step,Losses/total_loss,explore,General/explore,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,returned_episode,General/learning_rate,Evaluation/2__asymm_advantages,returned_episode_returns,General/shaped_reward_annealed_agent1,Losses/reg_loss,General/steps_for_env,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode_lengths,Evaluation/3__no_cooperation,Scaled_returns/evaluation_3__no_cooperation_scaled,Losses/value_loss,Scaled_returns/evaluation_1__square_arena_scaled,Evaluation/0__smallest_kitchen,General/shaped_reward_agent0,Advantage_Targets/targets,Scaled_returns/returned_episode_returns_scaled,Losses/entropy,task_2_2__asymm_advantages
2586,600.907426464,,5556.0,1746880861.2906725,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,
2591,600.907484301,,5631.0,1746880865.7147074,,,,,,,,-0.0009147329,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,600.907631077,,5631.0,1746880865.7157547,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,600.907730524,,5631.0,1746880865.7165039,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.577681e-05,,,,,,,
2650,600.908151997,,5706.0,1746880870.1442084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2663,600.908304911,,5781.0,1746880874.569056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,,
2677,600.908461325,,5781.0,1746880874.5705369,,,,,,,,,,,,,,,,,,,,,,,3840000.0,,,,,,,,,,,,
2701,600.908733533,,5856.0,1746880878.996619,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2712,600.908852246,,5856.0,1746880878.997652,,,,,,,,,,,,,,,,,,,,,,,3993600.0,,,,,,,,,,,,
2721,600.90895629,,5856.0,1746880878.9985287,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2796,600.910169268,,6006.0,1746880887.8549278,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,
2802,600.910379881,,6081.0,1746880892.278268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041774064,,,
2810,600.91055282,,6081.0,1746880892.27853,,,,,,,,,4454400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,600.910916616,,6081.0,1746880892.2799344,-0.0019466676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,600.911355482,,6156.0,1746880896.7081475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9871259,
2860,600.911414737,,6156.0,1746880896.708819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2880,600.911639365,,6231.0,1746880901.1358182,,,,,,,,,4761600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,600.912281918,,6306.0,1746880905.5648594,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
